;location_id;count;location;category;lat;lon;region
1115;l809;1;Jim;calls;7.67344;36.83441;indian_ocean
1125;l825;1;Gambia river;calls;13.28;-16.34;atlantic
1132;l789;1;Quang Nam;calls;15.88853;108.25447;southeast_asia
1134;l786;1;Poole;calls;50.71429;-1.98458;british_isles
1138;l743;1;Ganges;calls;43.93419;3.70797;atlantic
1166;l908;1;Labrador;calls;16.02812;120.14424;southeast_asia
1169;l895;1;Tristan de Cunha;calls;-37.7;-12.18;atlantic
1170;l896;1;St Paul's Island;calls;-38.43;77.31;indian_ocean
1171;l897;1;Condore;calls;16.4108;80.3445;madras_presidency
1188;l920;1;Hobart;calls;44.49925;-88.14986;atlantic
1191;l923;1;New York;calls;42.55779;-88.86511;atlantic
1192;l924;1;Hamburg;calls;42.71589;-78.82948;atlantic
1199;l845;1;Table Bay;calls;-33.51;18.27;atlantic
1201;l848;1;Port Dauphin;calls;-25.0157;46.59;indian_ocean
1202;l849;1;Masirah;calls;20.2816;58.4855;indian_ocean
1220;l876;1;Dublin;calls;53.33306;-6.24889;british_isles
1228;l736;1;Clyde;calls;41.30422;-82.97519;atlantic
1231;l618;1;Londonderry;calls;43.22646;-72.80649;atlantic
1274;l588;1;Resolution Bay;calls;-41.0731;174.1332;indian_ocean
1277;l593;1;Bonavista;calls;16.6;-22.48;atlantic
1280;l596;1;Canton river;calls;22.476411;113.750545;china
1304;l711;1;Dhufar;calls;17.011;54.0523;indian_ocean
1311;l719;1;Belfast;calls;54.59682;-5.92541;british_isles
1321;l692;1;Bar;calls;49.07362;27.67404;indian_ocean
1325;l656;1;Eddystone;calls;50.108;-4.159;british_isles
1333;l666;1;Banjarmasin;calls;-3.31987;114.59075;southeast_asia
